iter	RMSE
0	1.151189602
1	1.126367547
2	1.105379032
3	1.086267357
4	1.069174936
5	1.055167066
6	1.040090918
7	1.027753414
8	1.01448365
9	1.000490164
10	0.9882336284
11	0.9757142037
12	0.9645607228
13	0.953554128
14	0.9435810365
15	0.9330747417
16	0.9246652241
17	0.9153839643
18	0.9079097759
19	0.9003278967
20	0.8921837814
21	0.8864164547
22	0.8801870164
23	0.8706186412
24	0.8631078563
25	0.8559370487
26	0.8503531669
27	0.8431680557
28	0.8367546019
29	0.8320534679
30	0.8243906191
31	0.8169079844
32	0.8122512969
33	0.8057032779
34	0.8004492476
35	0.7955132315
36	0.7905375927
37	0.7858375485
38	0.7806745817
39	0.7753889745
40	0.7699919302
41	0.765171672
42	0.7603799415
43	0.7563318353
44	0.7526617578
45	0.748788011
46	0.7435441306
47	0.737427154
48	0.7334175291
49	0.7287238945
50	0.7246698614
51	0.7210639427
52	0.7175067121
53	0.7132148865
54	0.7102015876
55	0.7069242687
56	0.7020359154
57	0.6990003067
58	0.6957803211
59	0.6914918747
60	0.6877224722
61	0.6847695212
62	0.6813233404
63	0.6780685584
64	0.6745023982
65	0.6713407203
66	0.6679196563
67	0.6637455106
68	0.6603797636
69	0.6560316953
70	0.6518895014
71	0.6485723179
72	0.6456537923
73	0.6423791534
74	0.6385219108
75	0.6348678917
76	0.6316322958
77	0.6286577676
78	0.6250335027
79	0.6211024065
80	0.6180029966
81	0.6149012111
82	0.6122068918
83	0.6098781266
84	0.6066637041
85	0.6042167406
86	0.6018546769
87	0.5988838706
88	0.5957543575
89	0.5924653148
90	0.5898246855
91	0.5865938248
92	0.5836166665
93	0.5807181083
94	0.5776971383
95	0.5750554307
96	0.5724387161
97	0.5696285478
98	0.5667469455
99	0.5643743356
100	0.5620110713
101	0.5592426607
102	0.5567991417
103	0.5534533948
104	0.5507569767
105	0.5487758817
106	0.5460704799
107	0.543779931
108	0.541054422
109	0.5390303974
110	0.5363530168
111	0.533506313
112	0.5314820924
113	0.5284654415
114	0.5250523577
115	0.522947095
116	0.5205011389
117	0.5178621322
118	0.5155225105
119	0.5131792994
120	0.5105484262
121	0.508732078
122	0.5063232711
123	0.504118486
124	0.5024228371
125	0.5000240467
126	0.4978280434
127	0.4959373411
128	0.493560665
129	0.4917431003
130	0.4893080644
131	0.4875986637
132	0.4850319623
133	0.4831145816
134	0.4809756558
135	0.4793127635
136	0.4772493536
137	0.4753977425
138	0.4734473494
139	0.4715961001
140	0.4695667337
141	0.4679051264
142	0.4650075674
143	0.4630034752
144	0.4611501794
145	0.4598052177
146	0.4581398877
147	0.4561837742
148	0.4542405844
149	0.4524124048
150	0.4506773104
151	0.4490809796
152	0.4477566909
153	0.4462049371
154	0.4449435965
155	0.4437017965
156	0.4420078759
157	0.4400279151
158	0.437605133
159	0.4361697717
160	0.4344900307
161	0.4323779966
162	0.4305600259
163	0.4292223249
164	0.4278368092
165	0.4266892157
166	0.4247652318
167	0.4230776751
168	0.4216511786
169	0.4199408391
170	0.4184763114
171	0.4169196787
172	0.4148518391
173	0.4132565927
174	0.4118716089
175	0.4101564624
176	0.40873272
177	0.4070786617
178	0.4051544953
179	0.4038783697
180	0.4020890201
181	0.4005588198
182	0.3991607372
183	0.3978305559
184	0.3963532206
185	0.3949742445
186	0.3931965912
187	0.3916108879
188	0.3900970441
189	0.3888647637
190	0.3874761523
191	0.3861687453
192	0.3851172814
193	0.3838345507
194	0.382660047
195	0.3816433906
196	0.3803745845
197	0.3787719857
198	0.3772457604
199	0.3759019508
