iter	Passed	Remaining
0	5	1143
1	7	700
2	8	537
3	10	495
4	11	443
5	12	406
6	13	378
7	15	363
8	16	352
9	18	346
10	19	336
11	20	324
12	22	318
13	23	308
14	24	300
15	25	294
16	26	287
17	27	281
18	29	276
19	30	273
20	31	269
21	32	265
22	33	260
23	34	256
24	36	252
25	36	247
26	37	243
27	38	239
28	39	234
29	40	230
30	41	225
31	42	221
32	42	217
33	44	214
34	44	210
35	45	206
36	45	202
37	46	197
38	46	192
39	47	188
40	47	185
41	48	181
42	49	178
43	49	175
44	50	172
45	50	169
46	51	166
47	51	163
48	52	160
49	52	157
50	52	154
51	53	151
52	53	149
53	54	146
54	54	143
55	54	141
56	55	139
57	55	136
58	56	134
59	56	132
60	57	131
61	58	129
62	58	128
63	59	126
64	59	124
65	60	122
66	60	120
67	61	118
68	61	117
69	62	115
70	62	113
71	63	112
72	63	110
73	63	108
74	64	107
75	64	105
76	65	104
77	65	102
78	66	101
79	66	99
80	66	98
81	67	96
82	67	95
83	68	93
84	68	92
85	68	91
86	69	90
87	69	88
88	70	87
89	71	86
90	71	85
91	72	84
92	72	83
93	73	82
94	73	81
95	74	80
96	75	79
97	75	78
98	76	77
99	76	76
100	76	75
101	77	74
102	77	73
103	78	72
104	78	71
105	79	70
106	79	69
107	79	68
108	80	66
109	80	66
110	81	65
111	81	64
112	82	63
113	82	62
114	82	61
115	83	60
116	83	59
117	84	58
118	84	57
119	85	56
120	85	56
121	86	55
122	86	54
123	87	53
124	87	52
125	88	51
126	88	50
127	88	50
128	89	49
129	89	48
130	90	47
131	90	46
132	90	45
133	91	44
134	91	44
135	92	43
136	92	42
137	93	41
138	93	40
139	93	40
140	94	39
141	94	38
142	95	37
143	95	37
144	95	36
145	96	35
146	96	34
147	97	34
148	97	33
149	98	32
150	98	32
151	99	31
152	100	30
153	100	29
154	100	29
155	101	28
156	101	27
157	102	27
158	102	26
159	102	25
160	103	25
161	103	24
162	104	23
163	104	22
164	104	22
165	105	21
166	105	20
167	106	20
168	106	19
169	106	18
170	107	18
171	107	17
172	108	16
173	108	16
174	108	15
175	109	14
176	109	14
177	110	13
178	110	12
179	110	12
180	111	11
181	112	11
182	112	10
183	113	9
184	114	9
185	114	8
186	115	7
187	115	7
188	115	6
189	116	6
190	116	5
191	117	4
192	117	4
193	118	3
194	118	3
195	118	2
196	119	1
197	119	1
198	120	0
199	120	0
