Student ID,CGPA,Percentage,Study Hours,Required Study Hours,Pass/Fail
1,10.0,95.0,5.0,3.0,Pass
2,10.0,95.0,5.0,3.0,Pass
3,10.0,95.0,5.0,3.0,Pass
4,10.0,95.0,5.0,3.0,Pass
5,10.0,95.0,5.0,3.0,Pass
6,3.63,34.52,1.81,6.0,Fail
7,2.65,25.19,1.32,6.0,Fail
8,8.51,80.82,4.25,3.75,Pass
9,7.16,67.98,3.58,4.42,Pass
10,7.6,72.22,3.8,4.2,Pass
11,5.32,50.52,2.66,5.34,Pass
12,6.05,57.43,3.02,4.97,Pass
13,6.79,64.52,3.4,4.61,Pass
14,5.99,56.87,3.0,5.0,Pass
15,8.31,78.92,4.16,3.84,Pass
16,5.5,52.21,2.75,5.25,Pass
17,2.6,24.69,1.3,6.0,Fail
18,7.74,73.53,3.87,4.13,Pass
19,3.74,35.51,1.87,6.0,Fail
20,7.81,74.22,3.9,4.1,Pass
21,5.11,48.56,2.56,5.45,Pass
22,2.87,27.24,1.44,6.0,Fail
23,3.33,31.67,1.67,6.0,Fail
24,8.13,77.26,4.07,3.93,Pass
25,9.41,89.35,4.71,3.29,Pass
26,4.77,45.27,2.38,5.62,Pass
27,5.44,51.66,2.72,5.28,Pass
28,4.49,42.62,2.25,5.75,Pass
29,4.46,42.38,2.23,5.77,Pass
30,8.72,82.87,4.36,3.64,Pass
31,8.12,77.14,4.06,3.94,Pass
32,4.93,46.82,2.46,5.54,Pass
33,8.28,78.62,4.14,3.86,Pass
34,4.07,38.62,2.04,5.96,Pass
35,8.62,81.91,4.31,3.69,Pass
36,2.12,20.16,1.06,6.0,Fail
37,5.88,55.9,2.94,5.06,Pass
38,7.33,69.6,3.67,4.33,Pass
39,7.26,68.96,3.63,4.37,Pass
40,9.83,93.42,4.92,3.08,Pass
41,7.54,71.67,3.77,4.23,Pass
42,4.97,47.25,2.48,5.52,Pass
43,4.06,38.55,2.03,5.97,Pass
44,8.83,83.84,4.42,3.58,Pass
45,9.89,93.92,4.95,3.05,Pass
46,3.1,29.48,1.55,6.0,Fail
47,8.3,78.87,4.15,3.85,Pass
48,4.39,41.69,2.19,5.8,Pass
49,7.55,71.71,3.77,4.22,Pass
50,2.05,19.46,1.02,6.0,Fail
51,5.02,47.71,2.51,5.49,Pass
52,7.32,69.57,3.66,4.34,Pass
53,2.31,21.94,1.16,6.0,Fail
54,7.72,73.36,3.86,4.14,Pass
55,3.6,34.18,1.8,6.0,Fail
56,3.8,36.11,1.9,6.0,Fail
57,6.64,63.07,3.32,4.68,Pass
58,4.59,43.64,2.29,5.71,Pass
59,6.59,62.63,3.29,4.71,Pass
60,2.51,23.88,1.25,6.0,Fail
61,3.69,35.07,1.84,6.0,Fail
62,9.67,91.89,4.83,3.17,Pass
63,8.53,81.06,4.26,3.74,Pass
64,8.17,77.62,4.08,3.92,Pass
65,7.62,72.41,3.81,4.19,Pass
66,9.74,92.57,4.87,3.13,Pass
67,6.62,62.87,3.31,4.69,Pass
68,7.91,75.16,3.96,4.04,Pass
69,9.89,93.96,4.95,3.05,Pass
70,5.35,50.78,2.67,5.33,Pass
71,9.8,93.11,4.9,3.1,Pass
72,6.06,57.54,3.03,4.97,Pass
73,8.44,80.19,4.22,3.78,Pass
74,8.66,82.29,4.33,3.67,Pass
75,9.51,90.36,4.75,3.25,Pass
76,2.98,28.3,1.49,6.0,Fail
77,9.28,88.19,4.64,3.36,Pass
78,4.58,43.55,2.29,5.71,Pass
79,7.52,71.48,3.76,4.24,Pass
80,4.15,39.47,2.08,5.92,Pass
81,2.07,19.7,1.03,6.0,Fail
82,8.69,82.53,4.34,3.66,Pass
83,7.77,73.8,3.88,4.12,Pass
84,8.77,83.32,4.38,3.62,Pass
85,6.99,66.45,3.5,4.5,Pass
86,3.48,33.07,1.74,6.0,Fail
87,9.12,86.6,4.56,3.44,Pass
88,3.53,33.49,1.76,6.0,Fail
89,2.21,20.97,1.1,6.0,Fail
90,2.28,21.64,1.14,6.0,Fail
91,6.73,63.89,3.37,4.63,Pass
92,4.86,46.16,2.43,5.57,Pass
93,5.71,54.27,2.85,5.14,Pass
94,5.64,53.58,2.82,5.18,Pass
95,5.73,54.4,2.87,5.13,Pass
96,7.25,68.91,3.62,4.38,Pass
97,7.34,69.73,3.67,4.33,Pass
98,4.01,38.11,2.0,6.0,Pass
99,8.33,79.09,4.17,3.83,Pass
100,4.31,40.92,2.15,5.85,Pass
101,2.66,25.3,1.33,6.0,Fail
102,6.13,58.24,3.06,4.94,Pass
103,8.45,80.32,4.22,3.78,Pass
104,7.63,72.51,3.81,4.19,Pass
105,9.08,86.29,4.54,3.46,Pass
106,7.92,75.2,3.96,4.04,Pass
107,4.4,41.79,2.2,5.8,Pass
108,6.98,66.29,3.49,4.51,Pass
109,6.23,59.17,3.12,4.88,Pass
110,9.92,94.28,4.96,3.04,Pass
111,2.1,19.99,1.05,6.0,Fail
112,7.24,68.76,3.62,4.38,Pass
113,6.98,66.35,3.49,4.51,Pass
114,8.0,75.98,4.0,4.0,Pass
115,5.02,47.66,2.51,5.49,Pass
116,8.02,76.15,4.01,3.99,Pass
117,4.16,39.54,2.08,5.92,Pass
118,3.73,35.48,1.86,6.0,Fail
119,6.31,59.97,3.15,4.85,Pass
120,2.52,23.91,1.26,6.0,Fail
121,6.79,64.47,3.4,4.61,Pass
122,7.28,69.13,3.64,4.36,Pass
123,9.26,87.98,4.63,3.37,Pass
124,4.73,44.98,2.37,5.63,Pass
125,3.8,36.07,1.9,6.0,Fail
126,5.95,56.52,2.98,5.03,Pass
127,7.48,71.08,3.74,4.26,Pass
128,4.75,45.16,2.38,5.62,Pass
129,7.82,74.27,3.91,4.09,Pass
130,2.44,23.2,1.22,6.0,Fail
131,8.24,78.27,4.12,3.88,Pass
132,5.89,55.94,2.94,5.05,Pass
133,6.33,60.13,3.17,4.83,Pass
134,7.82,74.3,3.91,4.09,Pass
135,4.92,46.7,2.46,5.54,Pass
136,8.88,84.37,4.44,3.56,Pass
137,7.71,73.26,3.85,4.14,Pass
138,4.13,39.26,2.06,5.94,Pass
139,7.0,66.54,3.5,4.5,Pass
140,7.11,67.55,3.56,4.45,Pass
141,3.8,36.08,1.9,6.0,Fail
142,8.15,77.4,4.08,3.92,Pass
143,5.52,52.42,2.76,5.24,Pass
144,5.83,55.38,2.92,5.08,Pass
145,7.95,75.56,3.98,4.03,Pass
146,7.2,68.42,3.6,4.4,Pass
147,5.21,49.54,2.6,5.39,Pass
148,8.06,76.53,4.03,3.97,Pass
149,4.03,38.29,2.02,5.98,Pass
150,5.41,51.41,2.71,5.29,Pass
151,2.06,19.57,1.03,6.0,Fail
152,8.99,85.38,4.5,3.5,Pass
153,7.53,71.54,3.77,4.23,Pass
154,7.88,74.84,3.94,4.06,Pass
155,8.64,82.08,4.32,3.68,Pass
156,4.64,44.08,2.32,5.68,Pass
157,6.15,58.46,3.08,4.92,Pass
158,4.64,44.05,2.32,5.68,Pass
159,9.08,86.25,4.54,3.46,Pass
160,6.13,58.26,3.06,4.94,Pass
161,3.25,30.88,1.62,6.0,Fail
162,5.01,47.55,2.5,5.5,Pass
163,4.45,42.23,2.23,5.78,Pass
164,6.72,63.83,3.36,4.64,Pass
165,4.95,47.01,2.48,5.53,Pass
166,8.31,78.97,4.16,3.84,Pass
167,8.27,78.58,4.13,3.87,Pass
168,5.14,48.81,2.57,5.43,Pass
169,4.47,42.43,2.23,5.77,Pass
170,4.44,42.14,2.22,5.78,Pass
171,7.89,74.91,3.94,4.05,Pass
172,8.66,82.29,4.33,3.67,Pass
173,3.34,31.76,1.67,6.0,Fail
174,2.1,19.97,1.05,6.0,Fail
175,2.68,25.49,1.34,6.0,Fail
176,4.42,41.96,2.21,5.79,Pass
177,8.55,81.21,4.28,3.72,Pass
178,5.65,53.66,2.83,5.17,Pass
179,5.45,51.76,2.73,5.28,Pass
180,9.43,89.55,4.71,3.29,Pass
181,6.78,64.44,3.39,4.61,Pass
182,4.32,41.07,2.16,5.84,Pass
183,6.77,64.31,3.38,4.62,Pass
184,5.52,52.43,2.76,5.24,Pass
185,5.33,50.6,2.67,5.33,Pass
186,6.46,61.38,3.23,4.77,Pass
187,2.17,20.6,1.08,6.0,Fail
188,4.63,44.03,2.31,5.69,Pass
189,3.0,28.51,1.5,6.0,Fail
190,2.89,27.48,1.45,6.0,Fail
191,5.55,52.68,2.77,5.22,Pass
192,6.28,59.67,3.14,4.86,Pass
193,9.1,86.47,4.55,3.45,Pass
194,7.0,66.49,3.5,4.5,Pass
195,6.97,66.21,3.48,4.52,Pass
196,6.0,57.0,3.0,5.0,Pass
197,7.93,75.38,3.96,4.04,Pass
198,4.08,38.74,2.04,5.96,Pass
199,5.43,51.55,2.71,5.29,Pass
200,8.19,77.84,4.09,3.91,Pass
